Start Time	End Time	Time Added	Device Screen Status
2022-02-06 01:55:52+00:00	2022-02-06 04:26:04+00:00	2022-02-06 04:26:04+00:00	Backlight off
2022-02-06 04:26:04+00:00	2022-02-06 04:26:12+00:00	2022-02-06 04:26:14+00:00	Backlight on
2022-02-06 04:26:12+00:00	2022-02-06 04:33:08+00:00	2022-02-06 04:33:08+00:00	Backlight off
2022-02-06 04:33:08+00:00	2022-02-06 04:33:16+00:00	2022-02-06 04:33:18+00:00	Backlight on
2022-02-06 04:33:16+00:00	2022-02-06 04:37:40+00:00	2022-02-06 04:37:41+00:00	Backlight off
2022-02-06 04:37:40+00:00	2022-02-06 04:37:40+00:00	2022-02-06 04:37:42+00:00	Backlight on
2022-02-06 04:37:40+00:00	2022-02-06 04:38:44+00:00	2022-02-06 04:38:47+00:00	Backlight off
2022-02-06 04:38:44+00:00	2022-02-06 04:38:44+00:00	2022-02-06 04:38:47+00:00	Backlight on
2022-02-06 04:38:44+00:00	2022-02-06 04:38:48+00:00	2022-02-06 04:38:48+00:00	Backlight off
2022-02-06 04:38:48+00:00	2022-02-06 04:58:36+00:00	2022-02-06 04:58:39+00:00	Backlight on
2022-02-06 04:58:36+00:00	2022-02-06 05:02:48+00:00	2022-02-06 05:02:51+00:00	Backlight off
2022-02-06 05:02:48+00:00	2022-02-06 05:02:52+00:00	2022-02-06 05:02:53+00:00	Backlight on
2022-02-06 05:02:52+00:00	2022-02-06 05:07:24+00:00	2022-02-06 05:07:25+00:00	Backlight off
2022-02-06 05:07:24+00:00	2022-02-06 05:07:24+00:00	2022-02-06 05:07:27+00:00	Backlight on
2022-02-06 05:07:24+00:00	2022-02-06 14:15:12+00:00	2022-02-06 14:15:15+00:00	Backlight off
2022-02-06 14:15:12+00:00	2022-02-06 14:15:24+00:00	2022-02-06 14:15:25+00:00	Backlight on
2022-02-06 14:15:24+00:00	2022-02-06 19:32:20+00:00	2022-02-06 19:32:20+00:00	Backlight off
2022-02-06 19:32:20+00:00	2022-02-06 19:32:28+00:00	2022-02-06 19:32:31+00:00	Backlight on
2022-02-06 19:32:28+00:00	2022-02-06 19:50:52+00:00	2022-02-06 19:50:54+00:00	Backlight off
2022-02-06 19:50:52+00:00	2022-02-06 19:50:56+00:00	2022-02-06 19:50:56+00:00	Backlight on
2022-02-06 19:50:56+00:00	2022-02-06 19:51:12+00:00	2022-02-06 19:51:13+00:00	Backlight off
2022-02-06 19:51:12+00:00	2022-02-06 19:51:16+00:00	2022-02-06 19:51:17+00:00	Backlight on
2022-02-06 19:51:16+00:00	2022-02-06 20:30:12+00:00	2022-02-06 20:30:15+00:00	Backlight off
2022-02-06 20:30:12+00:00	2022-02-06 20:30:16+00:00	2022-02-06 20:30:17+00:00	Backlight on
2022-02-06 20:30:16+00:00	2022-02-06 20:49:56+00:00	2022-02-06 20:49:56+00:00	Backlight off
2022-02-06 20:49:56+00:00	2022-02-06 20:49:56+00:00	2022-02-06 20:49:57+00:00	Backlight on
2022-02-06 20:49:56+00:00	2022-02-06 20:51:32+00:00	2022-02-06 20:51:32+00:00	Backlight off
2022-02-06 20:51:32+00:00	2022-02-06 20:51:36+00:00	2022-02-06 20:51:39+00:00	Backlight on
2022-02-06 20:51:36+00:00	2022-02-06 20:51:44+00:00	2022-02-06 20:51:46+00:00	Backlight off
2022-02-06 20:51:44+00:00	2022-02-06 20:51:56+00:00	2022-02-06 20:51:56+00:00	Backlight on
2022-02-06 20:51:56+00:00	2022-02-06 20:52:24+00:00	2022-02-06 20:52:26+00:00	Backlight off
2022-02-06 20:52:24+00:00	2022-02-06 20:52:24+00:00	2022-02-06 20:52:27+00:00	Backlight on
2022-02-06 20:52:24+00:00	2022-02-06 20:53:44+00:00	2022-02-06 20:53:46+00:00	Backlight off
2022-02-06 20:53:44+00:00	2022-02-06 20:53:44+00:00	2022-02-06 20:53:47+00:00	Backlight on
2022-02-06 20:53:44+00:00	2022-02-06 20:53:48+00:00	2022-02-06 20:53:49+00:00	Backlight off
2022-02-06 20:53:48+00:00	2022-02-06 20:53:52+00:00	2022-02-06 20:53:52+00:00	Backlight on
2022-02-06 20:53:52+00:00	2022-02-06 21:04:32+00:00	2022-02-06 21:04:34+00:00	Backlight off
2022-02-06 21:04:32+00:00	2022-02-06 21:04:44+00:00	2022-02-06 21:04:45+00:00	Backlight on
2022-02-06 21:04:44+00:00	2022-02-06 21:04:44+00:00	2022-02-06 21:04:46+00:00	Backlight off
2022-02-06 21:04:44+00:00	2022-02-06 21:04:44+00:00	2022-02-06 21:04:47+00:00	Backlight on
