Start Time	End Time	Battery Percentage	Is Fully Charged?	Time Added
2022-01-25 00:51:48+00:00	2022-01-25 02:29:32+00:00	17	No	2022-01-25 02:29:35+00:00
2022-01-25 02:29:32+00:00	2022-01-25 03:39:40+00:00	16	No	2022-01-25 03:39:42+00:00
2022-01-25 03:39:40+00:00	2022-01-25 05:07:32+00:00	15	No	2022-01-25 05:07:35+00:00
2022-01-25 05:07:32+00:00	2022-01-25 06:45:20+00:00	14	No	2022-01-25 06:45:21+00:00
2022-01-25 06:45:20+00:00	2022-01-25 08:51:20+00:00	13	No	2022-01-25 08:51:22+00:00
2022-01-25 08:51:20+00:00	2022-01-25 11:17:04+00:00	12	No	2022-01-25 11:17:04+00:00
2022-01-25 11:17:04+00:00	2022-01-25 12:07:12+00:00	11	No	2022-01-25 12:07:15+00:00
2022-01-25 12:07:12+00:00	2022-01-25 12:41:00+00:00	10	No	2022-01-25 12:41:01+00:00
2022-01-25 12:41:00+00:00	2022-01-25 13:34:56+00:00	9	No	2022-01-25 13:35:00+00:00
2022-01-25 13:34:56+00:00	2022-01-25 14:03:04+00:00	8	No	2022-01-25 14:03:04+00:00
2022-01-25 14:03:04+00:00	2022-01-25 16:21:00+00:00	7	No	2022-01-25 16:21:02+00:00
2022-01-25 16:21:00+00:00	2022-01-25 20:10:20+00:00	6	No	2022-01-25 20:10:23+00:00
2022-01-25 20:10:20+00:00	2022-01-25 23:36:56+00:00	5	No	2022-01-25 23:36:59+00:00
2022-01-25 23:36:56+00:00	2022-01-26 00:53:16+00:00	4	No	2022-01-26 00:53:19+00:00
2022-01-26 00:53:16+00:00	2022-01-26 02:43:12+00:00	3	No	2022-01-26 02:43:15+00:00
2022-01-26 02:43:12+00:00	2022-01-26 04:07:20+00:00	2	No	2022-01-26 04:07:22+00:00
2022-01-30 01:40:00+00:00	2022-01-30 01:57:04+00:00	92	No	2022-01-30 01:57:05+00:00
2022-01-30 01:57:04+00:00	2022-01-30 02:01:44+00:00	91	No	2022-01-30 02:01:45+00:00
2022-01-30 02:01:44+00:00	2022-01-30 02:06:44+00:00	90	No	2022-01-30 02:06:45+00:00
2022-01-30 02:06:44+00:00	2022-01-30 02:11:04+00:00	89	No	2022-01-30 02:11:05+00:00
2022-01-30 02:11:04+00:00	2022-01-30 02:16:04+00:00	88	No	2022-01-30 02:16:06+00:00
2022-01-30 02:16:04+00:00	2022-01-30 02:20:44+00:00	87	No	2022-01-30 02:20:46+00:00
2022-01-30 02:20:44+00:00	2022-01-30 02:23:24+00:00	86	No	2022-01-30 02:23:26+00:00
2022-01-30 02:23:24+00:00	2022-01-30 02:27:04+00:00	85	No	2022-01-30 02:27:06+00:00
